       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
     11000       123        0.83    5.0850
     12000       135        0.83    6.8000
     13000       141        0.82    9.9400
     14000       152        0.78   13.5440
 


           ========== 17x13 ==========

       RPM       VMPH       EFF      HP
      1000        10        0.66    0.0060
      2000        21        0.73    0.0410
      3000        32        0.76    0.1320
      4000        45        0.78    0.2820
      5000        57        0.79    0.5450
      6000        69        0.81    0.9300
      7000        80        0.81    1.4940
      8000        96        0.82    2.0130
      9000       108        0.83    2.8940
     10000       120        0.83    4.0280
     11000       132        0.84    5.4710
     12000       145        0.84    7.2540
     13000       156        0.83    9.7890
 


           ========== 17x4W ==========

       RPM       VMPH       EFF      HP
      1000         3        0.31    0.0030
      2000         7        0.39    0.0160
      3000        12        0.43    0.0490
      4000        16        0.47    0.1070
      5000        20        0.49    0.1970
      6000        26        0.51    0.3170
      7000        30        0.53    0.5010
      8000        34        0.54    0.7300
      9000        39        0.56    1.0310
     10000        45        0.57    1.3440
     11000        49        0.58    1.8210
     12000        52        0.58    2.5060
     13000        54        0.54    3.6120
     14000        53        0.47    5.6960
 


           ========== 17x6 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.42    0.0030
      2000        10        0.51    0.0190
      3000        16        0.55    0.0560
      4000        22        0.59    0.1220
      5000        28        0.61    0.2300
      6000        34        0.63    0.3890
      7000        39        0.65    0.6080
      8000        45        0.66    0.8930
      9000        54        0.67    1.1810
     10000        60        0.68    1.6290
     11000        66        0.69    2.2040
     12000        71        0.69    2.9540
     13000        74        0.67    4.2490
     14000        76        0.63    6.2060
 


           ========== 17x6E ==========

       RPM       VMPH       EFF      HP
      1000         4        0.45    0.0020
      2000         9        0.52    0.0160
      3000        15        0.56    0.0490
      4000        20        0.58    0.1090
      5000        26        0.60    0.2070
      6000        31        0.62    0.3520
      7000        38        0.63    0.5250
      8000        42        0.64    0.8080
      9000        49        0.65    1.1030
     10000        55        0.66    1.5050
     11000        60        0.67    2.0110
     12000        65        0.67    2.6800
     13000        67        0.64    3.8730
     14000        69        0.59    5.6300
 


           ========== 17x7E ==========

       RPM       VMPH       EFF      HP
      1000         5        0.51    0.0030
      2000        11        0.57    0.0180
      3000        17        0.61    0.0560
      4000        23        0.63    0.1300
      5000        29        0.65    0.2460
      6000        36        0.67    0.4020
      7000        43        0.68    0.6330
      8000        49        0.69    0.9410
      9000        55        0.70    1.3400
     10000        64        0.70    1.7260
     11000        70        0.71    2.3180
     12000        77        0.71    3.0910
     13000        79        0.69    4.4530
     14000        79        0.65    6.6080
 


           ========== 17x8 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.52    0.0030
      2000        13        0.60    0.0240
      3000        21        0.64    0.0730
      4000        28        0.67    0.1680
      5000        36        0.69    0.3010
      6000        44        0.71    0.5130
      7000        51        0.72    0.8090
      8000        59        0.73    1.2060
      9000        69        0.74    1.5830
     10000        77        0.75    2.1860
     11000        85        0.76    2.9470
     12000        92        0.76    3.9350
     13000        96        0.74    5.7240
     14000        99        0.71    8.2920
 


           ========== 17x8E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.55    0.0030
      2000        12        0.62    0.0210
      3000        19        0.65    0.0670
      4000        27        0.67    0.1460
      5000        34        0.69    0.2790
      6000        41        0.70    0.4770
      7000        47        0.71    0.7540
      8000        57        0.72    1.0490
      9000        64        0.73    1.4970
     10000        71        0.74    2.0680
     11000        78        0.75    2.7860
     12000        85        0.74    3.7120
     13000        88        0.73    5.3280
     14000        91        0.69    7.6240
 


           ========== 17x8N ==========

       RPM       VMPH       EFF      HP
      1000         6        0.52    0.0030
      2000        13        0.60    0.0230
      3000        21        0.65    0.0680
      4000        28        0.68    0.1560
      5000        35        0.70    0.2970
      6000        45        0.71    0.4750
      7000        52        0.73    0.7490
      8000        60        0.74    1.1160
      9000        67        0.75    1.5960
     10000        79        0.76    2.0290
     11000        86        0.77    2.7440
     12000        94        0.77    3.6570
     13000        98        0.76    5.3000
 


           ========== 181x10 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.58    0.0060
      2000        16        0.66    0.0380
      3000        25        0.69    0.1210
      4000        35        0.72    0.2630
      5000        44        0.74    0.5040
      6000        55        0.75    0.8040
      7000        65        0.76    1.2700
      8000        74        0.77    1.9090
      9000        83        0.78    2.7420
     10000        93        0.79    3.7600
     11000       103        0.79    5.1350
     12000       111        0.79    7.0650
     13000       116        0.75   10.5270
 


           ========== 181x12 ==========
