       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       8000        11.016         1.062         8.366        0.0246        0.0824       0.768
       9000        14.087         1.522        10.660        0.0247        0.0833       0.775
      10000        17.604         2.110        13.300        0.0250        0.0843       0.781
      11000        21.607         2.850        16.331        0.0254        0.0855       0.786
      12000        26.152         3.775        19.827        0.0259        0.0870       0.790
      13000        31.315         4.983        24.161        0.0269        0.0887       0.784
      14000        37.143         6.787        30.553        0.0293        0.0907       0.744


                       16x6.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.159         0.003         0.168        0.0316        0.0762       0.530
       2000         0.639         0.019         0.583        0.0274        0.0765       0.616
       3000         1.445         0.059         1.231        0.0257        0.0769       0.661
       4000         2.582         0.134         2.112        0.0248        0.0773       0.690
       5000         4.059         0.256         3.233        0.0243        0.0777       0.711
       6000         5.889         0.438         4.603        0.0240        0.0783       0.728
       7000         8.088         0.693         6.239        0.0239        0.0790       0.740
       8000        10.676         1.036         8.161        0.0240        0.0799       0.751
       9000        13.681         1.485        10.397        0.0241        0.0809       0.760
      10000        17.137         2.060        12.986        0.0244        0.0821       0.768
      11000        21.093         2.789        15.982        0.0248        0.0835       0.775
      12000        25.612         3.721        19.543        0.0255        0.0852       0.777
      13000        30.778         5.043        24.451        0.0272        0.0872       0.755
      14000        36.614         7.209        32.454        0.0311        0.0894       0.686
