         13x5.5MRF-RH             (13x55MRF-RH.dat)
         v2022-0915
         Simulation Date: 03/31/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
        2.76      0.0374      0.1069      0.0911      0.0318       0.205       2.159       2.984     153.232       0.244      13.274       8.833        0.31     125047.    0.6887
        4.14      0.0560      0.1566      0.0889      0.0318       0.205       2.156       2.913     153.040       0.244      12.956       8.633        0.31     125127.    0.6650
        5.52      0.0747      0.2040      0.0866      0.0317       0.205       2.150       2.838     152.647       0.243      12.624       8.433        0.31     125213.    0.6413
        6.90      0.0934      0.2490      0.0843      0.0316       0.204       2.142       2.761     152.063       0.242      12.279       8.234        0.31     125302.    0.6175
        8.28      0.1121      0.2917      0.0818      0.0314       0.203       2.130       2.679     151.194       0.241      11.916       8.036        0.31     125395.    0.5937
        9.66      0.1308      0.3319      0.0792      0.0312       0.201       2.114       2.594     150.077       0.239      11.537       7.839        0.31     125493.    0.5699
       11.04      0.1494      0.3698      0.0765      0.0309       0.199       2.095       2.506     148.728       0.237      11.145       7.642        0.31     125596.    0.5460
       12.42      0.1681      0.4052      0.0737      0.0306       0.197       2.072       2.414     147.063       0.234      10.735       7.444        0.31     125703.    0.5220
       13.80      0.1868      0.4382      0.0707      0.0302       0.195       2.044       2.318     145.111       0.231      10.310       7.245        0.31     125815.    0.4978
       15.18      0.2055      0.4687      0.0677      0.0297       0.192       2.012       2.218     142.820       0.227       9.866       7.044        0.31     125932.    0.4735
       16.56      0.2241      0.4965      0.0645      0.0291       0.188       1.975       2.115     140.217       0.223       9.406       6.840        0.31     126053.    0.4490
       17.94      0.2428      0.5216      0.0613      0.0285       0.184       1.934       2.008     137.300       0.219       8.932       6.634        0.31     126180.    0.4243
       19.32      0.2615      0.5439      0.0579      0.0279       0.180       1.889       1.899     134.066       0.213       8.445       6.423        0.31     126311.    0.3995
       20.70      0.2802      0.5632      0.0545      0.0271       0.175       1.839       1.786     130.510       0.208       7.944       6.207        0.31     126447.    0.3744
       22.08      0.2989      0.5791      0.0510      0.0263       0.170       1.784       1.671     126.628       0.202       7.431       5.984        0.31     126589.    0.3491
       23.45      0.3175      0.5915      0.0474      0.0254       0.164       1.724       1.553     122.414       0.195       6.906       5.753        0.31     126735.    0.3235
       24.83      0.3362      0.6000      0.0437      0.0245       0.158       1.660       1.432     117.863       0.188       6.369       5.511        0.31     126887.    0.2976
